"Data";"Minimo";"Maximo";"Mediana"
2004-01-27;59,77;77,5;69,15
2004-01-27;44,4;60;52,58
2004-01-27;11,3;21,65;16
2004-01-28;59,77;77,5;69,15
2004-01-28;44,4;60;52,58
2004-01-28;11,3;21,65;16
2004-01-29;59,77;77,5;69,2
2004-01-29;44,4;60;52,77
2004-01-29;11,3;21,65;16
2004-01-30;59,77;77,5;69,15
2004-01-30;44,4;60;52,83
2004-01-30;11;21,65;16
2004-01-31;59,77;77,5;69,15
2004-01-31;44,4;60;52,58
2004-01-31;11;21,65;16
2004-02-03;59,77;77,5;69,05
2004-02-03;44,4;60;52,88
2004-02-03;8;21,65;16
2004-02-04;59,77;77,5;69,05
2004-02-04;44,4;60;52,88
2004-02-04;8;21,65;16
2004-02-05;59,77;77,5;69,05
2004-02-05;44,4;60;52,88
2004-02-05;8;21,65;16
2004-02-06;59,77;77,5;69,05
2004-02-06;44,4;60;52,88
2004-02-06;8;21,65;16
2004-02-07;59,77;76,4;69
2004-02-07;44,4;60;52,58
2004-02-07;8;21,65;16
2004-02-10;60,5;76,4;69
2004-02-10;44,4;60;52,77
2004-02-10;8;21,65;16
2004-02-11;60,5;76,4;69
2004-02-11;44,4;60;52,77
2004-02-11;8;21,65;16
2004-02-12;60,5;76,4;69
2004-02-12;44,4;60;52,88
2004-02-12;8;21,65;16
2004-02-13;60,5;76,4;69
2004-02-13;44,4;59;52,2
2004-02-13;8;21,65;16
2004-02-14;60,5;76,4;69
2004-02-14;44,4;59;52,2
2004-02-14;8;21,65;16
2004-02-17;62,4;76,4;69,1
2004-02-17;45,5;59;53
2004-02-17;8;21,65;16
2004-02-18;62,4;75,8;69,2
2004-02-18;45,5;59;53
2004-02-18;8;21,65;16
2004-02-19;62,4;75,8;69,2
2004-02-19;45,5;59;53
2004-02-19;8;21,65;16
2004-02-20;62,4;75,8;69,1
2004-02-20;45,5;59;53
2004-02-20;8;21,65;16
2004-02-21;60,5;75,8;69
2004-02-21;44,4;59;53
2004-02-21;8;21,65;16
2004-02-24;60,5;75,8;69,1
2004-02-24;44,4;59;53
2004-02-24;8;21,8;16
2004-02-25;60,5;75,8;69,2
2004-02-25;44,4;59;53
2004-02-25;8;21,8;16
2004-02-26;60,5;75,8;69,2
2004-02-26;44,4;59;53
2004-02-26;8;21,8;16
2004-02-27;60,5;75,8;69,5
2004-02-27;44,4;59;53
2004-02-27;8;21,8;16
2004-02-28;60,5;75,8;69,59
2004-02-28;44,4;59;53
2004-02-28;8;21,8;16
2004-03-05;60,5;75,8;69,59
2004-03-05;44,4;59;53
2004-03-05;8;21,8;16
2004-03-06;60,5;75,8;70
2004-03-06;44,4;59;53
2004-03-06;11;21,8;16
2004-03-07;60,5;75,8;70
2004-03-07;44,4;59;53
2004-03-07;11;21,8;16
2004-03-10;60,5;75,8;70
2004-03-10;44,4;59;53,2
2004-03-10;11;21,8;16
2004-03-11;60,5;75,8;70
2004-03-11;44,4;59;53,2
2004-03-11;11;21,8;16,05
2004-03-12;60,5;75,8;70
2004-03-12;44,4;59;53,2
2004-03-12;11;21,8;16,05
2004-03-13;60,5;75,8;70
2004-03-13;44,4;59;53,2
2004-03-13;11;21,8;16,05
2004-03-14;60,5;75,8;70
2004-03-14;44,4;59;53,2
2004-03-14;11;21,8;16,15
2004-03-17;60,5;75,8;70
2004-03-17;44,4;59;53,2
2004-03-17;11;21,8;16,29
2004-03-18;60,5;75,8;70
2004-03-18;44,4;59;53,2
2004-03-18;11;21,8;16,5
2004-03-19;60,5;75,8;70
2004-03-19;44,4;59;53,2
2004-03-19;11;21,82;16,5
2004-03-20;60,5;75,8;70
2004-03-20;44,4;60,1;53,2
2004-03-20;9,6;21,82;16,55
2004-03-21;60,5;75,8;70
2004-03-21;44,4;60,1;53,1
2004-03-21;9,6;21,82;16,38
2004-03-24;63,2;75,8;70
2004-03-24;47,2;60,1;53,2
2004-03-24;9;21,82;16,44
2004-03-25;63,2;75,8;70
2004-03-25;47,2;60,1;53,2
2004-03-25;9;21,9;16,44
2004-03-26;63,2;75,8;70
2004-03-26;47,2;60,1;53,2
2004-03-26;9;21,9;16,44
2004-03-27;63,2;75,8;69,85
2004-03-27;47,2;61;53,2
2004-03-27;9;21,9;16
2004-03-28;63,2;75,8;69,85
2004-03-28;47,2;61;53,2
2004-03-28;9;21,9;16,38
2004-03-31;63,2;75,8;70
2004-03-31;47,2;61;53,2
2004-03-31;9;21,9;16,39
2004-04-01;63,2;76,9;70
2004-04-01;47,2;61;53,2
2004-04-01;9;21,88;16,39
2004-04-02;63,2;76,9;70
2004-04-02;47,2;61;53,1
2004-04-02;9;23,07;16,4
2004-04-03;63,2;76,9;70
2004-04-03;47,2;61;53,1
2004-04-03;9;23,07;16,4
2004-04-04;63,2;77,4;70
2004-04-04;40,54;61;53,2
2004-04-04;9;25,6;16,5
2004-04-07;63,2;77,4;70
2004-04-07;40,54;61;53,2
2004-04-07;9;25,6;16,45
2004-04-08;63,2;77,4;70
2004-04-08;40,54;61;53,2
2004-04-08;9;25,6;16,45
2004-04-09;63,2;77,4;70
2004-04-09;40,54;61;53,38
2004-04-09;9;25,6;16,4
2004-04-10;60,5;77,4;70
2004-04-10;40,54;61;53,26
2004-04-10;9;25,6;16,39
2004-04-11;60,5;77,4;70
2004-04-11;40,54;61;53,3
2004-04-11;9;25,6;16,39
2004-04-14;60,5;79,1;70
2004-04-14;40,54;61;53,4
2004-04-14;9;25,6;16,39
2004-04-15;60,5;79,1;70
2004-04-15;40,54;61;53,5
2004-04-15;9;25,6;16,39
2004-04-16;60,5;79,1;69,85
2004-04-16;40,54;61;53,5
2004-04-16;9;25,6;16,39
2004-04-17;60,5;79,1;70
2004-04-17;40,54;61;53,5
2004-04-17;8,5;25,6;16,4
2004-04-22;60,5;79,1;70
2004-04-22;40,54;62;53,5
2004-04-22;8,5;25,6;16,45
2004-04-23;60,5;79,1;70
2004-04-23;40,54;62;53,65
2004-04-23;8,5;25,6;16,39
2004-04-24;60,5;79,1;69,85
2004-04-24;40,54;62;53,65
2004-04-24;8,5;25,6;16,39
2004-04-25;60,5;79,1;69,7
2004-04-25;40,54;62;53,8
2004-04-25;8,5;25,6;16,38
2004-04-28;60,5;79,1;69,7
2004-04-28;40,54;62;53,8
2004-04-28;8,5;25,6;16,38
2004-04-29;60,5;79,1;69,7
2004-04-29;40,54;62;53,8
2004-04-29;8,5;25,6;16,38
2004-04-30;60,5;79,1;69,75
2004-04-30;40,54;62;54
2004-04-30;8,5;25,6;16,15
2004-05-02;60,5;79,1;69,9
2004-05-02;40,54;64;54
2004-05-02;8,5;25,6;16,15
2004-05-05;60,5;79,1;70
2004-05-05;44,4;64;54
2004-05-05;8,5;23,07;16,05
2004-05-06;60,5;79,1;70
2004-05-06;44,4;64;54
2004-05-06;8,5;23,07;16
2004-05-07;60,5;79,1;70
2004-05-07;44,4;64;54
2004-05-07;8,5;23,07;16
2004-05-08;60,5;79,1;70
2004-05-08;44,4;64;54
2004-05-08;8,5;23;15,9
2004-05-09;60,5;79,1;70
2004-05-09;44,4;64;54,04
2004-05-09;8,5;23;15,5
2004-05-12;61;79,1;70
2004-05-12;45;64;54
2004-05-12;8,5;23;15,9
2004-05-13;61;79,1;70
2004-05-13;34,53;64;54
2004-05-13;8,5;28,86;15,9
2004-05-14;61;79,1;70
2004-05-14;40,57;64;54
2004-05-14;8,5;35,31;15,9
2004-05-15;61;79,1;70
2004-05-15;40,57;64;54,02
2004-05-15;8,5;35,31;15,9
2004-05-16;61;79,1;70
2004-05-16;40,57;64;54
2004-05-16;8,5;35,31;15,9
2004-05-19;61;79,1;70
2004-05-19;40,57;64;54
2004-05-19;8,5;35,31;15,9
2004-05-20;61;79,1;70
2004-05-20;40,57;64;54
2004-05-20;8,5;35,31;15,9
2004-05-21;61;79,1;70
2004-05-21;40,57;64;54
2004-05-21;8,5;35,31;15,9
2004-05-22;61;79,1;70
2004-05-22;40,57;64;54,04
2004-05-22;8,5;35,31;15,9
2004-05-23;61;79,1;70
2004-05-23;40,57;64;55
2004-05-23;8,5;35,31;15,78
2004-05-26;61;79,1;70
2004-05-26;40,57;64;55
2004-05-26;8,5;35,31;15,9
2004-05-27;61;79,1;70
2004-05-27;40,57;63;54,95
2004-05-27;8,5;35,31;15,9
2004-05-28;61;79,1;70
2004-05-28;40,57;63;54,95
2004-05-28;8,5;35,31;15,9
2004-05-29;61;79,1;69,85
2004-05-29;40,57;63;54,95
2004-05-29;8,5;35,31;15,9
2004-05-30;61;79,1;70
2004-05-30;40,57;63;55
2004-05-30;8,5;35,31;15,78
2004-06-02;61;79,1;69,7
2004-06-02;45;63;55
2004-06-02;8,5;23,8;15,78
2004-06-03;61;79,1;69,54
2004-06-03;45;63;54,95
2004-06-03;8,5;23,8;15,65
2004-06-04;61;79,1;69,54
2004-06-04;45;63;54,76
2004-06-04;8,5;23,8;15,65
2004-06-05;61;79,1;69,6
2004-06-05;45;63;54,76
2004-06-05;8,5;23,8;15,65
2004-06-06;61;79,1;69,6
2004-06-06;45;63;54,76
2004-06-06;8,5;23,8;15,65
2004-06-09;63,2;79,1;69,85
2004-06-09;45;63;54,76
2004-06-09;8,5;23,8;15,9
2004-06-10;60,5;79,1;69,6
2004-06-10;44,4;63;54,8
2004-06-10;8,5;23,8;15,65
2004-06-11;60,5;79,1;70
2004-06-11;44,4;63;55
2004-06-11;9;23,8;15,5
2004-06-12;60,5;79,1;70
2004-06-12;44,4;63;55
2004-06-12;9;23,8;15,5
2004-06-13;60,5;79,1;70
2004-06-13;44,4;63;55
2004-06-13;9;23,8;15,5
2004-06-16;60,5;79,1;70
2004-06-16;44,4;63;55
2004-06-16;9;23,8;15,5
2004-06-17;60,5;79,1;70
2004-06-17;44,4;63;55
2004-06-17;9;23,8;15,5
2004-06-18;60,5;79,1;70
2004-06-18;44,4;63;55
2004-06-18;9;23,8;15,5
2004-06-20;60,5;79,1;70
2004-06-20;44,4;63;55
2004-06-20;9;23,8;15,5
2004-06-23;60,5;79,1;70
2004-06-23;44,4;63;55
2004-06-23;9;23,8;15,5
2004-06-24;60,5;79,1;70
2004-06-24;44,4;63;55
2004-06-24;9;23,8;15,3
2004-06-25;60,5;79,1;70
2004-06-25;44,4;63;55
2004-06-25;9;23,8;15,5
2004-06-26;60,5;79,1;70
2004-06-26;44,4;62,6;55
2004-06-26;9;23,8;15,5
2004-06-27;60,5;79,1;70
2004-06-27;44,4;62,6;55
2004-06-27;9;23,8;15,5
2004-06-30;60,5;79,1;70
2004-06-30;44,4;62,6;55
2004-06-30;9;23,8;15,5
2004-07-01;60,5;79,1;70
2004-07-01;44,4;62,6;55
2004-07-01;9;23,8;15,44
2004-07-02;60,5;79,1;70
2004-07-02;44,4;62,6;55
2004-07-02;9;23,8;15,44
2004-07-03;60,5;79,1;70
2004-07-03;44,4;62,6;55
2004-07-03;9;27,58;15,44
2004-07-04;60,5;79,1;70
2004-07-04;44,4;62,6;55
2004-07-04;9,5;27,58;15,5
2004-07-07;60,5;79,1;70
2004-07-07;44,4;62,6;55,3
2004-07-07;9,5;27,58;15,44
2004-07-08;60,5;79,1;70,05
2004-07-08;44,4;62,6;55,35
2004-07-08;9,5;27,58;15,38
2004-07-09;60,5;79,1;70,05
2004-07-09;44,4;62,6;55,35
2004-07-09;9,5;27,58;15,38
2004-07-10;60,5;79,1;70,05
2004-07-10;44,4;62,6;55,35
2004-07-10;9,5;27,58;15,38
2004-07-11;63,2;79,1;70,1
2004-07-11;45,68;62,6;55,42
2004-07-11;9,5;27,58;15,24
2004-07-14;63,2;79,1;70,25
2004-07-14;45,68;60,1;55,46
2004-07-14;10,42;27,58;15,2
2004-07-15;63,2;79,1;70,25
2004-07-15;45,68;60,1;55,36
2004-07-15;10,42;27,58;15,1
2004-07-16;63,2;79,1;70,1
2004-07-16;45,68;60,1;55,42
2004-07-16;10,42;27,58;15,05
2004-07-17;63,2;79,1;70,25
2004-07-17;45,68;60,1;55,46
2004-07-17;10,42;27,58;15,1
2004-07-18;63,2;79,1;70,4
2004-07-18;45,68;60,1;55,5
2004-07-18;10,42;27,58;15,15
2004-07-21;63,2;79,1;70,53
2004-07-21;45,68;60,2;55,5
2004-07-21;11;27,58;15,2
2004-07-22;63,2;79,1;70,53
2004-07-22;45,68;60,2;55,5
2004-07-22;11;27,58;15,2
2004-07-23;63,2;79,1;70,65
2004-07-23;45,68;60,2;55,5
2004-07-23;10,42;27,58;15,1
2004-07-24;63,2;79,1;70,65
2004-07-24;45,68;60,2;55,5
2004-07-24;10,42;27,58;15
2004-07-25;63,2;79,1;70,53
2004-07-25;45,68;60,2;55,5
2004-07-25;10,42;27,58;15
2004-07-28;63,2;79,1;70,25
2004-07-28;45,68;60,2;55,41
2004-07-28;10,42;27,58;15
2004-07-29;63,2;79,1;70,25
2004-07-29;45,68;60,2;55,41
2004-07-29;10,42;27,58;15
2004-07-30;63,2;79,1;70,25
2004-07-30;39,01;60,2;55,41
2004-07-30;10,42;32,23;15
2004-07-31;63,2;79,1;70,1
2004-07-31;39,01;60,2;55,32
2004-07-31;10,42;32,23;15
2004-08-01;63,2;85,87;70,1
2004-08-01;45,72;60,2;55,5
2004-08-01;10,42;40,15;15
2004-08-04;63,2;85,87;70,05
2004-08-04;45,72;60,2;55,41
2004-08-04;10,42;40,15;15
2004-08-05;63,2;85,87;70,25
2004-08-05;45,72;60,2;55,5
2004-08-05;10,42;40,15;15
2004-08-06;63,2;85,87;70,25
2004-08-06;45,72;60,2;55,5
2004-08-06;10,42;40,15;15
2004-08-07;63,2;85,87;70,25
2004-08-07;45,72;60,2;55,24
2004-08-07;10,42;40,15;15
2004-08-08;63,2;85,87;70,1
2004-08-08;45,72;60,2;55,15
2004-08-08;10,42;40,15;15
2004-08-11;63,2;85,87;70,1
2004-08-11;45,72;60,2;55,15
2004-08-11;10,42;40,15;15
2004-08-12;63,2;85,87;70,2
2004-08-12;45,72;60,2;55,15
2004-08-12;10,42;40,15;15
2004-08-13;63,2;85,87;70,2
2004-08-13;45,72;60,2;55,15
2004-08-13;10,42;40,15;15
2004-08-14;63,2;85,87;70,2
2004-08-14;45,72;60,2;55
2004-08-14;9,2;40,15;15
2004-08-15;49,48;85,87;70,3
2004-08-15;45,72;60,2;55,08
2004-08-15;9,2;40,15;15
2004-08-18;49,48;85,87;70,2
2004-08-18;45,72;60,2;55
2004-08-18;9,2;40,15;15,03
2004-08-19;49,48;85,87;70,1
2004-08-19;45,62;60,2;55
2004-08-19;9,2;40,15;15,03
2004-08-20;49,48;85,87;70,1
2004-08-20;45,62;60,2;55
2004-08-20;9,2;40,15;15,03
2004-08-21;49,48;85,87;70,1
2004-08-21;45,62;60,2;55
2004-08-21;9,2;40,15;15,2
2004-08-22;49,48;85,87;70,15
2004-08-22;45,62;60,2;54,74
2004-08-22;9,2;40,15;15,11
2004-08-25;49,48;85,87;70,2
2004-08-25;45,62;60,2;54,74
2004-08-25;9,2;40,15;15,28
2004-08-26;49,48;85,87;70,1
2004-08-26;45,62;60,2;54,7
2004-08-26;9,2;40,15;15,2
2004-08-27;49,48;85,87;70,05
2004-08-27;45,62;60,2;54,74
2004-08-27;9,2;40,15;15,28
2004-08-28;49,48;85,87;70,05
2004-08-28;45,62;60,2;54,74
2004-08-28;9,2;40,15;15,28
2004-08-29;49,48;85,87;70
2004-08-29;45,62;60,2;54,7
2004-08-29;9,2;40,15;15,35
2004-09-01;49,48;79,4;70
2004-09-01;45,62;60,2;54,7
2004-09-01;9,2;22,5;15,03
2004-09-02;49,48;79,4;70
2004-09-02;45,62;60,2;54,7
