"Data";"Balanca_Comercial_12m"
2002-01-01;NA
2002-02-01;NA
2002-03-01;NA
2002-04-01;NA
2002-05-01;NA
2002-06-01;NA
2002-07-01;NA
2002-08-01;NA
2002-09-01;NA
2002-10-01;NA
2002-11-01;NA
2002-12-01;12,0037
2003-01-01;12,9591
2003-02-01;13,809
2003-03-01;14,7317
2003-04-01;15,9513
2003-05-01;18,1164
2003-06-01;19,8096
2003-07-01;20,669
2003-08-01;21,7526
2003-09-01;21,9007
2003-10-01;22,237
2003-11-01;22,644
2003-12-01;23,5761
2004-01-01;24,0239
2004-02-01;24,8989
2004-03-01;25,9241
2004-04-01;26,1494
2004-05-01;26,7107
2004-06-01;28,1164
2004-07-01;29,4733
2004-08-01;30,2061
2004-09-01;30,6917
2004-10-01;31,1462
2004-11-01;31,5386
2004-12-01;32,2837
2005-01-01;32,909
2005-02-01;33,7208
2005-03-01;34,5181
2005-04-01;36,488
2005-05-01;36,8553
2005-06-01;37,0971
2005-07-01;38,6898
2005-08-01;38,9087
2005-09-01;40,1004
2005-10-01;40,7891
2005-11-01;42,7915
2005-12-01;43,7215
2006-01-01;44,3475
2006-02-01;44,3496
2006-03-01;44,6727
2006-04-01;43,8186
2006-05-01;43,3403
2006-06-01;43,3901
2006-07-01;43,9946
2006-08-01;44,9622
2006-09-01;45,0528
2006-10-01;45,3198
2006-11-01;44,5454
2006-12-01;45,1779
2007-01-01;44,8633
