"Data";"Minimo";"Maximo";"Mediana"
2004-01-27;3;4,3;3,78
2004-01-28;3;4,3;3,79
2004-01-29;3;4,3;3,79
2004-01-30;3;4,3;3,8
2004-01-31;3;4,3;3,79
2004-02-03;3;4,3;3,8
2004-02-04;3;4,3;3,8
2004-02-05;3;4,3;3,8
2004-02-06;3;4,3;3,8
2004-02-07;3;4,3;3,8
2004-02-10;3;4,3;3,8
2004-02-11;3;4,3;3,8
2004-02-12;3;4,3;3,8
2004-02-13;3;4,3;3,8
2004-02-14;3;4,3;3,8
2004-02-17;3;4,3;3,8
2004-02-18;3;4,3;3,8
2004-02-19;3;4,3;3,8
2004-02-20;3;4,3;3,8
2004-02-21;3;4,3;3,8
2004-02-24;3;4,3;3,8
2004-02-25;3;4,3;3,8
2004-02-26;3;4,3;3,8
2004-02-27;3;4,3;3,8
2004-02-28;3;4,3;3,8
2004-03-05;3;4,3;3,8
2004-03-06;3;4,3;3,8
2004-03-07;3;4,3;3,8
2004-03-10;3;4,3;3,8
2004-03-11;3;4,3;3,79
2004-03-12;3;4,3;3,79
2004-03-13;3;4,3;3,79
2004-03-14;3;4,3;3,79
2004-03-17;3;4,3;3,78
2004-03-18;3;4,3;3,78
2004-03-19;3;4,3;3,76
2004-03-20;3;4,3;3,75
2004-03-21;3;4,3;3,75
2004-03-24;3;4,3;3,74
2004-03-25;3;4,3;3,74
2004-03-26;3;4,3;3,74
2004-03-27;3;4,3;3,7
2004-03-28;3;4,3;3,7
2004-03-31;3;4,3;3,73
2004-04-01;3;4,3;3,73
2004-04-02;3;4,3;3,7
2004-04-03;3;4,3;3,7
2004-04-04;3;4,3;3,7
2004-04-07;3,1;4,3;3,7
2004-04-08;3,1;4,3;3,7
2004-04-09;3,1;4,3;3,7
2004-04-10;3,1;4,3;3,7
2004-04-11;3,1;4,3;3,7
2004-04-14;3,1;4,3;3,7
2004-04-15;3,1;4,3;3,68
2004-04-16;3,1;4,3;3,68
2004-04-17;3,1;4,3;3,68
2004-04-22;3,1;4,3;3,6
2004-04-23;3,1;4,3;3,6
2004-04-24;3,1;4,3;3,6
2004-04-25;3,1;4,3;3,6
2004-04-28;3,1;4,3;3,6
2004-04-29;3,1;4,3;3,6
2004-04-30;3,1;4,3;3,55
2004-05-02;3,1;4,3;3,55
2004-05-05;3;4,3;3,55
2004-05-06;3;4,3;3,55
2004-05-07;3;4,3;3,55
2004-05-08;3;4,3;3,5
2004-05-09;3;4,3;3,5
2004-05-12;3;4,3;3,5
2004-05-13;3;4,3;3,5
2004-05-14;3;4,3;3,5
2004-05-15;3;4,3;3,5
2004-05-16;3;4,3;3,5
2004-05-19;3;4,05;3,5
2004-05-20;3;4,05;3,5
2004-05-21;3;4,05;3,5
2004-05-22;3;4;3,5
2004-05-23;3;4;3,5
2004-05-26;3,1;4;3,5
2004-05-27;3,1;4;3,5
2004-05-28;3,1;4;3,5
2004-05-29;3,1;4;3,5
2004-05-30;3,1;4;3,5
2004-06-02;3,1;4;3,5
2004-06-03;3,1;4;3,5
2004-06-04;3,1;4;3,5
2004-06-05;3,1;4;3,5
2004-06-06;3,1;4;3,5
2004-06-09;3,1;4;3,5
2004-06-10;3,1;4;3,5
2004-06-11;3,1;4;3,5
2004-06-12;3,1;4;3,5
2004-06-13;3,1;4;3,5
2004-06-16;3,1;4;3,5
2004-06-17;3,1;4;3,5
2004-06-18;3,1;4;3,5
2004-06-20;3,1;4;3,5
2004-06-23;3,1;3,8;3,5
2004-06-24;3,1;3,8;3,5
2004-06-25;3,1;3,8;3,5
2004-06-26;3,1;3,8;3,5
2004-06-27;3,1;3,8;3,5
2004-06-30;3,1;3,8;3,5
