"Data";"Cambio"
2002-01-28;2,4228
2002-01-29;2,4234
2002-01-30;2,4384
2002-01-31;2,4183
2002-02-01;2,4161
2002-02-04;2,4228
2002-02-05;2,4214
2002-02-06;2,4206
2002-02-07;2,4518
2002-02-08;2,4691
2002-02-13;2,4232
2002-02-14;2,4249
2002-02-15;2,438
2002-02-18;2,4284
2002-02-19;2,4249
2002-02-20;2,4284
2002-02-21;2,4241
2002-02-22;2,4273
2002-02-25;2,4062
2002-02-26;2,3947
2002-02-27;2,3827
2002-02-28;2,3482
2002-03-01;2,3596
2002-03-04;2,3432
2002-03-05;2,3251
2002-03-06;2,352
2002-03-07;2,3663
2002-03-08;2,3582
2002-03-11;2,3487
2002-03-12;2,3496
2002-03-13;2,3368
2002-03-14;2,3441
2002-03-15;2,3542
2002-03-18;2,3406
2002-03-19;2,3432
2002-03-20;2,338
2002-03-21;2,3475
2002-03-22;2,3508
2002-03-25;2,3641
2002-03-26;2,3502
2002-03-27;2,3371
2002-03-28;2,3236
2002-04-01;2,322
2002-04-02;2,3022
2002-04-03;2,2977
2002-04-04;2,3118
2002-04-05;2,2924
2002-04-08;2,2907
2002-04-09;2,2842
2002-04-10;2,2728
2002-04-11;2,2709
2002-04-12;2,2988
2002-04-15;2,318
2002-04-16;2,3172
2002-04-17;2,3165
2002-04-18;2,3327
2002-04-19;2,3269
2002-04-22;2,3347
2002-04-23;2,3487
2002-04-24;2,3568
2002-04-25;2,3666
2002-04-26;2,3558
2002-04-29;2,3689
2002-04-30;2,3625
2002-05-02;2,377
2002-05-03;2,4149
2002-05-06;2,4327
2002-05-07;2,4174
2002-05-08;2,4341
2002-05-09;2,4519
2002-05-10;2,4838
2002-05-13;2,4952
2002-05-14;2,5154
2002-05-15;2,5117
2002-05-16;2,4799
2002-05-17;2,4763
2002-05-20;2,4737
2002-05-21;2,4787
2002-05-22;2,5016
2002-05-23;2,5296
2002-05-24;2,524
2002-05-27;2,5228
2002-05-28;2,5248
2002-05-29;2,5201
2002-05-31;2,522
2002-06-03;2,5413
2002-06-04;2,5697
2002-06-05;2,6086
2002-06-06;2,6418
2002-06-07;2,6708
2002-06-10;2,6367
2002-06-11;2,6664
2002-06-12;2,7486
2002-06-13;2,6922
2002-06-14;2,7181
2002-06-17;2,6823
2002-06-18;2,67
2002-06-19;2,703
2002-06-20;2,7505
2002-06-21;2,791
2002-06-24;2,8269
2002-06-25;2,7995
2002-06-26;2,8584
2002-06-27;2,8593
2002-06-28;2,8444
2002-07-01;2,8595
2002-07-02;2,9141
2002-07-03;2,8617
2002-07-04;2,8481
2002-07-05;2,8746
2002-07-08;2,8711
2002-07-09;2,8551
2002-07-10;2,8541
2002-07-11;2,8232
2002-07-12;2,8147
2002-07-15;2,8455
2002-07-16;2,8671
2002-07-17;2,8783
2002-07-18;2,8772
2002-07-19;2,8671
2002-07-22;2,8816
2002-07-23;2,9132
2002-07-24;2,9479
2002-07-25;2,9822
2002-07-26;3,0177
2002-07-29;3,1449
2002-07-30;3,2692
2002-07-31;3,4285
2002-08-01;3,3275
2002-08-02;3,0302
2002-08-05;3,0732
2002-08-06;3,207
2002-08-07;3,0598
2002-08-08;2,8883
2002-08-09;2,9964
2002-08-12;3,0979
2002-08-13;3,2094
2002-08-14;3,1965
2002-08-15;3,1912
2002-08-16;3,162
2002-08-19;3,1142
2002-08-20;3,0923
2002-08-21;3,0794
2002-08-22;3,1417
2002-08-23;3,1136
2002-08-26;3,0788
2002-08-27;3,0949
2002-08-28;3,1219
2002-08-29;3,1239
2002-08-30;3,0223
2002-09-02;3,0286
2002-09-03;3,0988
2002-09-04;3,1325
2002-09-05;3,1512
2002-09-06;3,1783
2002-09-09;3,1312
2002-09-10;3,1306
2002-09-11;3,1153
2002-09-12;3,1239
2002-09-13;3,1506
2002-09-16;3,1884
2002-09-17;3,2248
2002-09-18;3,324
2002-09-19;3,3843
2002-09-20;3,4277
2002-09-23;3,5448
2002-09-24;3,6216
2002-09-25;3,7257
2002-09-26;3,7516
2002-09-27;3,8541
2002-09-30;3,8949
2002-10-01;3,7467
2002-10-02;3,5936
2002-10-03;3,6952
2002-10-04;3,6593
2002-10-07;3,6965
2002-10-08;3,7017
2002-10-09;3,852
2002-10-10;3,9228
2002-10-11;3,9235
2002-10-14;3,8613
2002-10-15;3,8567
2002-10-16;3,8744
2002-10-17;3,9245
2002-10-18;3,8759
2002-10-21;3,9125
2002-10-22;3,9552
2002-10-23;3,8704
2002-10-24;3,8617
2002-10-25;3,8015
2002-10-28;3,7406
2002-10-29;3,8211
2002-10-30;3,7443
2002-10-31;3,645
2002-11-01;3,6113
2002-11-04;3,5418
2002-11-05;3,5625
2002-11-06;3,5976
2002-11-07;3,6218
2002-11-08;3,5271
2002-11-11;3,5035
2002-11-12;3,5527
2002-11-13;3,6342
2002-11-14;3,6797
2002-11-18;3,5889
2002-11-19;3,5547
2002-11-20;3,5146
2002-11-21;3,5103
2002-11-22;3,5616
2002-11-25;3,5492
2002-11-26;3,5872
2002-11-27;3,5898
2002-11-28;3,603
2002-11-29;3,6365
2002-12-02;3,616
2002-12-03;3,6625
2002-12-04;3,7049
2002-12-05;3,7514
2002-12-06;3,7526
2002-12-09;3,798
2002-12-10;3,7685
2002-12-11;3,7954
2002-12-12;3,7535
2002-12-13;3,7342
2002-12-16;3,6318
2002-12-17;3,5827
2002-12-18;3,5316
2002-12-19;3,5047
2002-12-20;3,4278
2002-12-23;3,4947
2002-12-24;3,501
2002-12-26;3,5251
2002-12-27;3,5413
2002-12-30;3,5333
2002-12-31;3,5333
2003-01-02;3,5224
2003-01-03;3,4698
2003-01-06;3,3664
2003-01-07;3,3423
2003-01-08;3,3124
2003-01-09;3,3297
2003-01-10;3,2918
2003-01-13;3,2956
2003-01-14;3,2758
2003-01-15;3,2983
2003-01-16;3,2937
2003-01-17;3,3632
2003-01-20;3,4103
2003-01-21;3,4402
2003-01-22;3,5189
2003-01-23;3,4901
2003-01-24;3,5923
2003-01-27;3,6623
2003-01-28;3,6312
2003-01-29;3,6417
2003-01-30;3,5696
2003-01-31;3,5258
2003-02-03;3,493
2003-02-04;3,5406
2003-02-05;3,5845
2003-02-06;3,6045
2003-02-07;3,5802
2003-02-10;3,6042
2003-02-11;3,5737
2003-02-12;3,6003
2003-02-13;3,6359
2003-02-14;3,658
2003-02-17;3,6232
2003-02-18;3,5889
2003-02-19;3,5935
2003-02-20;3,6067
2003-02-21;3,6097
2003-02-24;3,587
2003-02-25;3,6013
2003-02-26;3,5817
2003-02-27;3,585
2003-02-28;3,5632
2003-03-05;3,5637
2003-03-06;3,526
2003-03-07;3,501
2003-03-10;3,5281
2003-03-11;3,5061
2003-03-12;3,4763
2003-03-13;3,4293
2003-03-14;3,3958
2003-03-17;3,4442
2003-03-18;3,4308
2003-03-19;3,4576
2003-03-20;3,483
2003-03-21;3,4462
2003-03-24;3,407
2003-03-25;3,3892
2003-03-26;3,3747
2003-03-27;3,4031
2003-03-28;3,3757
2003-03-31;3,3531
2003-04-01;3,3359
2003-04-02;3,2795
2003-04-03;3,2563
2003-04-04;3,2469
2003-04-07;3,1723
2003-04-08;3,1649
2003-04-09;3,1857
2003-04-10;3,2157
2003-04-11;3,2147
2003-04-14;3,1818
2003-04-15;3,1154
2003-04-16;3,0752
2003-04-17;3,0289
2003-04-22;3,0639
2003-04-23;3,0147
2003-04-24;3,0029
2003-04-25;3,0123
2003-04-28;2,9915
2003-04-29;2,9251
2003-04-30;2,8898
2003-05-02;2,9159
2003-05-05;2,9845
2003-05-06;3,0277
2003-05-07;2,9639
2003-05-08;2,9177
2003-05-09;2,8802
2003-05-12;2,8757
2003-05-13;2,8653
2003-05-14;2,8902
2003-05-15;2,9306
2003-05-16;2,9731
2003-05-19;2,9815
2003-05-20;3,0141
2003-05-21;3,0109
2003-05-22;2,9842
2003-05-23;2,9445
