"Data";"Minimo";"Maximo";"Mediana"
2010-01-02;32,5;39,81;35,45
2010-01-05;32,67;39,81;35,6
2010-01-06;32,67;39,81;35,6
2010-01-07;32,67;39,81;35,6
2010-01-08;30,8;39,81;35,3
2010-01-09;30,8;39,81;35,3
2010-01-12;30,8;39,81;35,3
2010-01-13;30,8;39,81;35
2010-01-14;30,8;39,81;35,3
2010-01-15;30,8;39,81;35,3
2010-01-16;30,8;39,81;35,3
2010-01-19;30,8;39,81;35,3
2010-01-20;30,8;39,81;35,3
2010-01-21;30,8;39,81;35,3
2010-01-22;30,64;39,81;35,3
2010-01-23;30,64;39,81;35,3
2010-01-26;30,64;39,81;35,3
2010-01-27;30,64;39,81;35,3
2010-01-28;30,64;39,81;35,3
2010-01-29;30,8;39,81;35,3
2010-01-30;30,8;38,5;35,2
2010-02-02;30,8;38,5;35,2
2010-02-03;29,9;38,5;35,1
2010-02-04;29,9;38,5;35,1
2010-02-05;29,9;38,5;35,1
2010-02-06;29,9;38,5;35,1
2010-02-09;29,9;39;35,1
2010-02-10;29,9;39;35,25
2010-02-11;29,9;39;35,25
2010-02-12;29,9;39;35,2
2010-02-13;29,9;39;35,25
2010-02-16;29,9;39;35,1
2010-02-17;29,9;39;35,2
2010-02-18;29,9;39;35,1
2010-02-19;29,9;39;35,1
2010-02-20;29,9;40,1;35
2010-02-25;29,9;40,1;35
2010-02-26;29,9;40,1;35
2010-02-27;29,9;40,1;35
2010-03-02;29,9;40,1;35
2010-03-03;29,9;40,1;35
2010-03-04;29,9;40,1;35
2010-03-05;29,9;40,1;35
2010-03-06;30,8;40,1;35
2010-03-09;30,8;40,1;35
2010-03-10;30,8;40,1;35
2010-03-11;30,8;40,1;35,15
2010-03-12;31,7;40,1;35,18
2010-03-13;31,7;40,1;35,3
2010-03-16;31,7;40,1;35,3
2010-03-17;31,7;40,1;35,3
2010-03-18;31,7;40,1;35,24
2010-03-19;31,7;40,1;35,24
2010-03-20;31,7;40,1;35,5
2010-03-23;31,7;40,1;35,7
2010-03-24;31,7;40,1;35,7
2010-03-25;31,7;40,1;35,7
2010-03-26;31,7;40,1;35,6
2010-03-27;31,7;40,1;35,6
2010-03-30;31,7;40,1;35,5
2010-03-31;31,7;40,1;35,5
2010-04-01;31,7;40,1;35,6
2010-04-02;31,7;40,1;35,6
2010-04-03;31,7;40,1;35,76
2010-04-06;31,7;40,1;35,7
2010-04-07;31,7;40,1;35,76
2010-04-08;31,7;40,1;35,76
2010-04-09;31,7;40,1;35,81
2010-04-13;31,7;40,1;35,81
2010-04-14;31,7;40,1;35,81
2010-04-15;31,7;40,1;35,8
2010-04-16;31,7;40,1;35,8
2010-04-17;31,7;42,5;35,81
2010-04-20;31,7;42,5;36,1
2010-04-22;31,7;42,5;36,1
2010-04-23;31,7;42,5;36,1
2010-04-24;31,7;42,5;36,5
2010-04-27;31,7;42,5;36,5
2010-04-28;31,7;42,5;36,5
2010-04-29;31,7;42,5;36,5
2010-04-30;31,7;42,5;36,5
2010-05-04;31,7;42,5;36,75
2010-05-05;31,7;42,5;36,75
2010-05-06;31,7;42,5;37
2010-05-07;31,7;42,5;37
2010-05-08;31,7;42,5;36,75
2010-05-11;31,7;42,5;37
2010-05-12;31,7;42,5;37
2010-05-13;31,7;42,5;37
2010-05-14;31,7;42,5;37
2010-05-15;31,7;42,5;37,5
2010-05-18;31,7;42,5;37,4
2010-05-19;31,7;42,5;37,5
2010-05-20;31,7;42,5;37,5
2010-05-21;33,2;42,5;37,5
2010-05-22;33,2;42,5;37,5
2010-05-25;33,2;42,5;37,5
2010-05-26;33,2;42,5;37,66
2010-05-27;33,2;42,5;37,66
2010-05-28;33,2;42,5;37,81
2010-05-29;33,2;42,5;37,5
2010-06-01;33,2;42,5;37,5
2010-06-02;33,2;42,5;37,5
2010-06-03;33,2;42,5;37,66
2010-06-04;33,2;42,5;37,81
2010-06-05;33,2;42,5;38,4
2010-06-08;33,2;42,5;38,4
2010-06-09;33,2;42,5;38,4
2010-06-10;33,2;42,5;38,4
2010-06-12;33,2;42,5;38
2010-06-15;33,2;42,5;38,2
2010-06-16;33,2;42,5;38,4
2010-06-17;33,2;42,5;38,4
2010-06-18;33,2;42,5;38
2010-06-19;33,2;42,5;38,4
2010-06-22;33,2;42,5;38,4
2010-06-23;33,2;42,5;38,4
2010-06-24;33,2;42,5;38,45
2010-06-25;33,2;42,5;38,4
2010-06-26;33,2;42,5;38,4
2010-06-29;33,2;42,5;38,5
2010-06-30;33,2;42,5;38,5
2010-07-01;33,2;42,5;39
2010-07-02;33,2;42,5;39
2010-07-03;33,2;42,5;39,19
2010-07-06;33,2;42,5;39,09
2010-07-07;33,2;43,2;39,45
2010-07-08;33,2;43,2;39,45
2010-07-09;33,2;43,2;39,1
2010-07-10;33,2;43,2;39,1
2010-07-13;33,2;43,2;39,45
2010-07-14;33,2;43,2;39,45
2010-07-15;33,2;43,2;39,45
2010-07-16;33,2;43,2;39,81
2010-07-17;33,2;43,2;39,81
2010-07-20;33,2;43,2;39,8
2010-07-21;33,2;43,2;39,81
2010-07-22;33,2;43,2;39,81
2010-07-23;33,2;43,2;39,81
2010-07-24;33,2;43,2;40
2010-07-27;33,2;43,2;39,95
2010-07-28;33,2;43,2;39,95
