"Data";"Minimo";"Maximo";"Mediana"
2004-01-27;10;21,8;15
2004-01-28;10;21,8;15
2004-01-29;10;21,8;15
2004-01-30;10;21,8;15
2004-01-31;10;21,8;15
2004-02-03;10;20,22;15
2004-02-04;10;20,22;15
2004-02-05;10;20,22;15
2004-02-06;10;20,22;15
2004-02-07;10;20,22;15
2004-02-10;10;20,22;15
2004-02-11;10;20,22;15
2004-02-12;10;20,22;15
2004-02-13;10;20,22;15
2004-02-14;10;20,22;15
2004-02-17;10;20,22;15
2004-02-18;10;20,22;15
2004-02-19;10;20,22;15
2004-02-20;10;20,22;15
2004-02-21;10;20,22;15
2004-02-24;10;20,22;15
2004-02-25;10;20,22;15
2004-02-26;10;20,22;15
2004-02-27;10;20,22;15
2004-02-28;10;20,22;15
2004-03-05;10;20,22;15
2004-03-06;10;20,22;15
2004-03-07;10;20,22;15
2004-03-10;10;20,22;15
2004-03-11;10;20,22;15
2004-03-12;10;20,22;15
2004-03-13;10;20,22;15
2004-03-14;10;20,22;15
2004-03-17;10;20,22;15
2004-03-18;10;20,22;15
2004-03-19;10;20,22;15
2004-03-20;10;20,22;15
2004-03-21;10;20,22;15
2004-03-24;10;20,22;15
2004-03-25;10;20,22;15
2004-03-26;10;20,22;15
2004-03-27;10;20,22;15
2004-03-28;10;20,22;15
2004-03-31;10;20,22;15
2004-04-01;10;20,22;15
2004-04-02;10;20,22;15
2004-04-03;10;20,22;15
2004-04-04;10;20,22;15
2004-04-07;10;20,22;15
2004-04-08;10;20,22;15
2004-04-09;10;20,22;15
2004-04-10;10;20,22;15
2004-04-11;10;20,22;15
2004-04-14;10;20,22;15
2004-04-15;10;20,22;15
2004-04-16;10;20,22;15
2004-04-17;10;20,22;15
2004-04-22;10;20,22;15
2004-04-23;10;20,22;15
2004-04-24;10;20,22;15
2004-04-25;10;20,22;15
2004-04-28;10;20,22;14,55
2004-04-29;10;20,22;14,55
2004-04-30;10;20,22;14,5
2004-05-02;10;20,22;15
2004-05-05;10;20,22;15
2004-05-06;10;20,22;15
2004-05-07;10;20,22;14,8
2004-05-08;10;20,22;14,5
2004-05-09;10;20,22;14,45
2004-05-12;10;20,22;14,45
2004-05-13;10;20,22;14,5
2004-05-14;10;20,22;14,55
2004-05-15;10;20,22;14,5
2004-05-16;10;20,22;14,5
2004-05-19;10;20,22;14,5
2004-05-20;10;20,22;14,5
2004-05-21;10;20,22;14,5
2004-05-22;10;20,22;14,5
2004-05-23;10;20,22;14,5
2004-05-26;10;20,22;14,5
2004-05-27;10;18;14,3
2004-05-28;10;18;14,3
2004-05-29;10;18;14,3
2004-05-30;10;18;14
2004-06-02;10;18;14
2004-06-03;10;18;14
2004-06-04;10;18;14
2004-06-05;10;18;14
2004-06-06;10;18;14
2004-06-09;10;18;14
2004-06-10;7,7;18;14
2004-06-11;7,7;18;14
2004-06-12;7,7;18;14
2004-06-13;7,7;18;14
2004-06-16;7,7;18;14
2004-06-17;7,7;18;14
2004-06-18;7,7;18;13,5
2004-06-20;7,7;18;13,75
