"Data";"Minimo";"Maximo";"Mediana"
2004-01-27;4,86;12,2;8
2004-01-28;4,86;12,2;8
2004-01-29;4,86;12,2;8
2004-01-30;4,86;12,2;8
2004-01-31;4,86;12,2;8
2004-02-03;4,86;12,2;8
2004-02-04;4,86;12,2;8
2004-02-05;4,86;12,2;8
2004-02-06;4,86;12,2;8
2004-02-07;4,86;12,2;8
2004-02-10;4,86;12,2;8
2004-02-11;4,86;12,2;8
2004-02-12;4,86;12,2;8
2004-02-13;4,86;12,2;8
2004-02-14;4,86;12,2;8
2004-02-17;4,86;12,2;8
2004-02-18;4,86;12,2;8
2004-02-19;4,86;12,2;8
2004-02-20;4,86;12,2;8
2004-02-21;4,86;12,2;8
2004-02-24;4,86;12,2;8
2004-02-25;4,86;12,2;8
2004-02-26;4,86;12,2;8
2004-02-27;4,86;12,2;8
2004-02-28;4,86;12,2;8
2004-03-05;4,86;12,2;8
2004-03-06;4,86;12,2;8
2004-03-07;4,86;12,2;8
2004-03-10;4,86;12,2;8
2004-03-11;4,86;12,2;8
2004-03-12;4,86;12,2;8
2004-03-13;4,86;12,2;8
2004-03-14;4,86;12,2;8
2004-03-17;4,86;12,2;8
2004-03-18;4,86;12,2;8
2004-03-19;4,86;12,2;8
2004-03-20;4,86;12,2;8
2004-03-21;4,86;12,2;8
2004-03-24;4,86;12,2;8
2004-03-25;4,86;12,2;8
2004-03-26;4,86;12,2;8
2004-03-27;4,86;12,2;8
2004-03-28;4,86;12,2;8
2004-03-31;4,86;12,2;8
2004-04-01;4,86;12,2;8
2004-04-02;4,86;12,2;8
2004-04-03;4,86;12,2;8
2004-04-04;4,86;12;8
2004-04-07;4,86;12;8
2004-04-08;4,86;12;8
2004-04-09;4,86;12;8
2004-04-10;4,86;12;8
2004-04-11;4,86;12;8
2004-04-14;4,86;12;8
2004-04-15;5,21;12;8
2004-04-16;5,21;12;8
2004-04-17;5,21;12;8
2004-04-22;5,21;12;8
2004-04-23;5,21;12;7,95
2004-04-24;5,21;12;7,95
2004-04-25;5,21;12;7,95
2004-04-28;5,21;12;8
2004-04-29;5,21;12;8
2004-04-30;5,21;12;7,9
2004-05-02;5,21;12;7,89
2004-05-05;5,21;12;7,9
2004-05-06;5,21;12;7,89
