"Data";"Minimo";"Maximo";"Mediana"
2010-01-02;1,9;5,2;3,9
2010-01-05;1,9;5,2;3,8
2010-01-06;1,9;5,2;3,8
2010-01-07;1,9;5,2;3,8
2010-01-08;1,9;5,2;3,8
2010-01-09;2;5,2;3,8
2010-01-12;2;5,2;3,9
2010-01-13;2;5,2;3,9
2010-01-14;2;5,2;3,9
2010-01-15;2;5;3,9
2010-01-16;2;5;3,9
2010-01-19;2;5;3,9
2010-01-20;2;5;3,85
2010-01-21;2;5;3,85
2010-01-22;2;5;3,8
2010-01-23;2;5;3,8
2010-01-26;2;5;3,8
2010-01-27;2;5;3,8
2010-01-28;2;5;3,8
2010-01-29;2;5;3,85
2010-01-30;2;5;3,8
2010-02-02;2;5;3,8
2010-02-03;2;5;3,8
2010-02-04;2;5;3,8
2010-02-05;2;5;3,8
2010-02-06;2;5;3,8
2010-02-09;2,4;5;3,8
2010-02-10;2,4;5;3,6
2010-02-11;2;5;3,6
2010-02-12;2;5;3,8
2010-02-13;2;5;3,6
2010-02-16;2;5;3,6
2010-02-17;2;5;3,6
2010-02-18;2;5;3,6
2010-02-19;2;5;3,6
2010-02-20;2;5;3,6
2010-02-25;2;5;3,6
2010-02-26;2;5;3,5
2010-02-27;2;5;3,5
2010-03-02;2;5;3,5
2010-03-03;2;5;3,5
2010-03-04;2;5;3,5
2010-03-05;2;5;3,5
2010-03-06;2;5;3,5
2010-03-09;2;5;3,5
2010-03-10;2;5;3,5
2010-03-11;2;5;3,5
2010-03-12;2;5;3,5
2010-03-13;2;5;3,5
2010-03-16;2;4,75;3,5
2010-03-17;-0,2;4,75;3,5
2010-03-18;-0,2;5,5;3,5
2010-03-19;-0,2;5,5;3,5
2010-03-20;-0,2;5,5;3,5
2010-03-23;2;5,5;3,5
2010-03-24;2;5,5;3,5
2010-03-25;2;5,5;3,5
2010-03-26;2;5,5;3,5
2010-03-27;2;5,5;3,5
2010-03-30;2;5,5;3,5
2010-03-31;2;5,5;3,5
2010-04-01;2;5,5;3,5
2010-04-02;2;5,5;3,5
2010-04-03;2;5,5;3,5
2010-04-06;2;5,5;3,5
2010-04-07;2;5,5;3,5
2010-04-08;2;5,5;3,5
2010-04-09;2;5,5;3,5
2010-04-13;2;5,5;3,5
2010-04-14;2;5,5;3,5
2010-04-15;2;5,5;3,5
2010-04-16;2;5,5;3,5
2010-04-17;2;5,5;3,5
2010-04-20;2;4,5;3,5
2010-04-22;2;4,5;3,5
2010-04-23;2;4,5;3,5
2010-04-24;2;4,5;3,5
2010-04-27;2;4,5;3,5
2010-04-28;2;4,5;3,5
2010-04-29;2;4,5;3,5
2010-04-30;2;4,5;3,5
2010-05-04;2;4,5;3,5
2010-05-05;2;4,5;3,5
2010-05-06;2;4,5;3,5
2010-05-07;2;4,5;3,5
2010-05-08;2;5,5;3,5
2010-05-11;2;5,5;3,5
2010-05-12;2;5,5;3,5
2010-05-13;2;5,5;3,5
2010-05-14;2;5,5;3,5
2010-05-15;2;5,5;3,5
2010-05-18;2;5,5;3,5
2010-05-19;2;4,5;3,5
2010-05-20;2;4,5;3,5
2010-05-21;2;4,5;3,5
2010-05-22;2;4,5;3,5
2010-05-25;2;5,1;3,5
2010-05-26;2;5,1;3,5
2010-05-27;2;5,1;3,5
2010-05-28;2;5,1;3,5
2010-05-29;2;5,1;3,5
2010-06-01;2;5,1;3,5
2010-06-02;2;5,1;3,5
2010-06-03;2;5,1;3,5
2010-06-04;2;5,1;3,5
2010-06-05;2;5,1;3,5
2010-06-08;2;5,1;3,5
2010-06-09;2;5,1;3,5
2010-06-10;2;5,1;3,5
2010-06-12;2;5,1;3,5
2010-06-15;2;5,1;3,5
2010-06-16;2;5,1;3,5
2010-06-17;2;5,1;3,5
2010-06-18;2;5,1;3,5
2010-06-19;2;5,1;3,5
2010-06-22;2;5,1;3,5
2010-06-23;1,4;5,1;3,5
2010-06-24;1,4;5,1;3,5
2010-06-25;1,4;5;3,5
2010-06-26;1,4;5;3,5
2010-06-29;1,4;5;3,5
2010-06-30;1,4;5;3,5
2010-07-01;1,4;5;3,5
2010-07-02;1,4;5;3,5
2010-07-03;1,4;5;3,5
2010-07-06;1,4;4,6;3,5
2010-07-07;1,4;4,6;3,5
2010-07-08;1,4;4,6;3,5
2010-07-09;1,4;5;3,5
2010-07-10;1,4;5;3,5
2010-07-13;1,4;5;3,51
2010-07-14;1,4;5;3,51
2010-07-15;1,4;5;3,56
2010-07-16;1,4;5;3,6
2010-07-17;1,6;5;3,6
2010-07-20;1,6;5;3,56
2010-07-21;1,6;5;3,6
2010-07-22;1,6;5;3,6
2010-07-23;1,6;5;3,55
2010-07-24;1,6;5;3,5
2010-07-27;1,6;5;3,6
2010-07-28;1,6;5;3,6
2010-07-29;1,6;5;3,6
2010-07-30;1,6;5;3,6
2010-07-31;1,6;5;3,6
2010-08-03;1,6;5;3,6
2010-08-04;1,6;5;3,6
2010-08-05;1,6;5;3,6
2010-08-06;1,6;5;3,6
2010-08-07;1,6;5;3,6
2010-08-10;1,6;5;3,7
2010-08-11;1,6;5;3,7
2010-08-12;1,6;5;3,7
2010-08-13;1,6;5;3,7
2010-08-14;1,6;5;3,8
2010-08-17;2,5;5;4
2010-08-18;2,5;5;4
2010-08-19;2;5;4
