"Data";"Resultado_Nominal"
2008-01-01;-2,5
2008-02-01;-2,55
2008-03-01;-2,21
2008-04-01;-2,25
2008-05-01;-2,18
2008-06-01;-2,31
2008-07-01;-2,28
2008-08-01;-2,22
2008-09-01;-1,74
2008-10-01;-1,32
2008-11-01;-1,52
2008-12-01;-1,99
2009-01-01;-2,46
2009-02-01;-2,43
2009-03-01;-2,68
2009-04-01;-2,85
2009-05-01;-2,93
2009-06-01;-3,02
2009-07-01;-3,19
2009-08-01;-3,32
2009-09-01;-4,01
2009-10-01;-4,28
2009-11-01;-3,96
2009-12-01;-3,19
2010-01-01;-2,86
2010-02-01;-2,94
2010-03-01;-3,2
2010-04-01;-2,96
2010-05-01;-3,07
2010-06-01;-3,12
2010-07-01;-3,12
2010-08-01;-3,16
2010-09-01;-2,21
2010-10-01;-2,32
2010-11-01;-2,58
2010-12-01;-2,41
2011-01-01;-2,47
2011-02-01;-2,45
2011-03-01;-2,17
2011-04-01;-2,32
2011-05-01;-2,27
2011-06-01;-2,05
2011-07-01;-1,78
2011-08-01;-1,91
2011-09-01;-2,39
2011-10-01;-2,37
2011-11-01;-2,26
2011-12-01;-2,47
2012-01-01;-2,27
2012-02-01;-2,19
2012-03-01;-2,26
2012-04-01;-2,27
2012-05-01;-2,29
2012-06-01;-2,44
2012-07-01;-2,56
2012-08-01;-2,52
2012-09-01;-2,57
2012-10-01;-2,5
2012-11-01;-2,73
2012-12-01;-2,26
2013-01-01;-2,22
