"Data";"Minimo";"Maximo";"Mediana"
2010-01-02;3;4,5;3,5
2010-01-05;3;4,5;3,5
2010-01-06;3;4,5;3,5
2010-01-07;3;4,5;3,5
2010-01-08;3;4,5;3,5
2010-01-09;3;4,5;3,5
2010-01-12;-3,5;4,5;3,5
2010-01-13;-3,5;4,5;3,5
2010-01-14;-3,5;4,5;3,5
2010-01-15;-3,5;4,5;3,5
2010-01-16;-3,5;4,5;3,5
2010-01-19;-3,5;4,5;3,5
2010-01-20;2,7;4,5;3,5
2010-01-21;2,7;4,5;3,5
2010-01-22;2,7;4,5;3,5
2010-01-23;2,7;4,5;3,5
2010-01-26;2,7;4,5;3,5
2010-01-27;2,7;4,5;3,5
2010-01-28;2,7;4,5;3,5
2010-01-29;2,7;4,5;3,5
2010-01-30;2,7;4,5;3,5
2010-02-02;2,7;4,5;3,5
2010-02-03;2,7;4,5;3,5
2010-02-04;2,7;4,5;3,5
2010-02-05;2,7;4,5;3,5
2010-02-06;2,7;4,5;3,5
2010-02-09;2,7;4,5;3,5
2010-02-10;2,7;4,5;3,5
2010-02-11;2,7;4,5;3,5
2010-02-12;2,7;4,5;3,5
2010-02-13;2,7;4,5;3,5
2010-02-16;2,7;4,5;3,5
2010-02-17;2,7;4,5;3,5
2010-02-18;2,7;4,5;3,5
2010-02-19;2,7;4,5;3,5
2010-02-20;2,7;4,5;3,5
2010-02-25;2,7;4,5;3,5
2010-02-26;2,7;4,5;3,5
2010-02-27;2,7;4,5;3,45
2010-03-02;2,7;4,5;3,4
2010-03-03;2,7;4,5;3,4
2010-03-04;2,7;4,5;3,45
2010-03-05;2,7;4,5;3,45
2010-03-06;2,7;4,5;3,5
2010-03-09;2,8;4,5;3,5
2010-03-10;2,7;4,5;3,5
2010-03-11;2,7;4,5;3,5
2010-03-12;2,7;4,5;3,4
2010-03-13;2,7;4,5;3,3
2010-03-16;2,7;4,5;3,3
2010-03-17;2,7;4,5;3,3
2010-03-18;2,7;4,5;3,35
2010-03-19;2,7;4,5;3,4
2010-03-20;2,1;4,5;3,35
2010-03-23;2,1;4,5;3,35
2010-03-24;2,1;4,5;3,4
2010-03-25;2,1;4,5;3,38
2010-03-26;2,1;4,5;3,3
2010-03-27;2,1;4,5;3,3
2010-03-30;2,1;4,5;3,3
2010-03-31;2,1;4,5;3,3
