"Data";"Resultado_Primario"
2008-01-01;3,39
2008-02-01;3,43
2008-03-01;3,63
2008-04-01;3,61
2008-05-01;3,6
2008-06-01;3,62
2008-07-01;3,72
2008-08-01;3,77
2008-09-01;3,85
2008-10-01;3,98
2008-11-01;3,69
2008-12-01;3,33
2009-01-01;2,89
2009-02-01;2,74
2009-03-01;2,56
2009-04-01;2,3
2009-05-01;2,09
2009-06-01;1,87
2009-07-01;1,6
2009-08-01;1,46
2009-09-01;1,07
2009-10-01;0,94
2009-11-01;1,33
2009-12-01;1,94
2010-01-01;2,18
2010-02-01;2,15
2010-03-01;1,88
2010-04-01;2,09
2010-05-01;2,02
2010-06-01;1,96
2010-07-01;1,91
2010-08-01;1,88
2010-09-01;2,75
2010-10-01;2,61
2010-11-01;2,37
2010-12-01;2,62
2011-01-01;2,63
2011-02-01;2,72
2011-03-01;3,03
2011-04-01;2,95
2011-05-01;3,08
2011-06-01;3,31
2011-07-01;3,58
2011-08-01;3,53
2011-09-01;3,03
2011-10-01;3,1
2011-11-01;3,17
2011-12-01;2,94
2012-01-01;3,1
2012-02-01;3,12
2012-03-01;3,02
2012-04-01;2,91
2012-05-01;2,78
2012-06-01;2,53
2012-07-01;2,33
2012-08-01;2,28
2012-09-01;2,12
2012-10-01;2,07
2012-11-01;1,77
2012-12-01;2,18
2013-01-01;2,25
