"Data";"Minimo";"Maximo";"Mediana"
2004-01-27;13,5;29;16,95
2004-01-28;13,5;29;17
2004-01-29;13,5;29;17
2004-01-30;13,5;29;17
2004-01-31;13,5;29;17
2004-02-03;13,5;29;16,9
2004-02-04;13,5;29;16,9
2004-02-05;13,5;29;16,9
2004-02-06;13,5;29;16,9
2004-02-07;13,5;29;16,95
2004-02-10;13,5;29;17
2004-02-11;13,5;29;17
2004-02-12;13,5;29;17
2004-02-13;13,5;29;17
2004-02-14;13,5;29;17
2004-02-17;13,5;29;17
2004-02-18;13,5;29;17
2004-02-19;13,5;29;17
2004-02-20;13,5;29;17
2004-02-21;13,5;29;17
2004-02-24;13,5;29;17
2004-02-25;13,5;29;17,08
2004-02-26;13,5;29;17,53
2004-02-27;13,5;29;17,53
2004-02-28;13,5;29;17,53
2004-03-05;13,5;29;17,9
2004-03-06;13,5;29;17,95
2004-03-07;13,5;23,5;17,9
2004-03-10;13,5;23,5;17,9
2004-03-11;13,5;23,5;18
2004-03-12;13,5;23,5;18
2004-03-13;13,5;23,5;18
2004-03-14;13,5;23,5;18
2004-03-17;13,5;23,5;18
2004-03-18;13,5;23,5;18
2004-03-19;13,5;23,5;18
2004-03-20;13,5;25;18
2004-03-21;13,5;25;18
2004-03-24;13,5;25;18
2004-03-25;13,5;25;18
2004-03-26;13,5;23;18
2004-03-27;13,5;23;18
2004-03-28;13,5;23;18
2004-03-31;13,5;23;17,9
2004-04-01;13,5;23;17,9
2004-04-02;13,5;23;17,95
2004-04-03;13,5;23;17,95
2004-04-04;13,5;23;18
2004-04-07;13,5;23;18
2004-04-08;13,5;23;18
2004-04-09;13,5;23;18
2004-04-10;13,5;23;18
2004-04-11;13,5;23;18
2004-04-14;13,5;23;18
2004-04-15;13,5;23;18
2004-04-16;13,5;23;18
2004-04-17;13,5;23;18
2004-04-22;13,5;23;18
2004-04-23;13,5;23;17,95
2004-04-24;13,5;23;17,95
2004-04-25;13,5;23;17,95
2004-04-28;14;23;18
2004-04-29;14;23;18
2004-04-30;14;23;18
2004-05-02;14;23;18
2004-05-05;13,5;23;17,5
2004-05-06;13,5;23;17,5
2004-05-07;13,5;23;17,5
2004-05-08;13,5;23;17,25
2004-05-09;13,5;23;17,25
2004-05-12;12;22;17,25
2004-05-13;12;22;17
2004-05-14;12;22;17
2004-05-15;12;23;17
2004-05-16;12;23;17
2004-05-19;12;23;17,25
2004-05-20;12;23;17,25
2004-05-21;12;23;17
2004-05-22;12;23;17
2004-05-23;12;23;17
2004-05-26;12;23;17
2004-05-27;12;23;17
2004-05-28;12;23;17
2004-05-29;12;23;16,95
2004-05-30;12;23;16,5
2004-06-02;12;23;16,5
2004-06-03;12;23;16,5
2004-06-04;12;23;16,5
2004-06-05;12;23;16,5
2004-06-06;12;23;16,5
2004-06-09;12;23;16,5
2004-06-10;12;23;16,5
2004-06-11;12;23;16,7
2004-06-12;12;23;16,5
2004-06-13;12;23;16,5
2004-06-16;12;22;16,5
2004-06-17;12;22;16,5
2004-06-18;12;22;16,5
2004-06-20;12;22;16,5
2004-06-23;12;22;16
2004-06-24;12;23;16
2004-06-25;12;23;16
2004-06-26;12;23;16
2004-06-27;12;23;16
2004-06-30;12;23;16
2004-07-01;12;23;16
2004-07-02;12;23;16
2004-07-03;12;23;16
2004-07-04;12;23;16
2004-07-07;12;23;16
2004-07-08;12;23;16
2004-07-09;12;23;16
2004-07-10;12;23;16
2004-07-11;12;23;16
2004-07-14;12;22;16
2004-07-15;12;22;16
2004-07-16;12;22;16
2004-07-17;12;20;16
2004-07-18;12;20;16
2004-07-21;12;20;16
2004-07-22;12;20;16
2004-07-23;12;20;16
2004-07-24;12;20;16
2004-07-25;12;20;16
2004-07-28;12;20;16
2004-07-29;12;20;16
2004-07-30;12;20;16
2004-07-31;12;20;16
2004-08-01;12;20;16
2004-08-04;12;20;16
2004-08-05;12;20;15,9
2004-08-06;12;20;15,9
2004-08-07;12;20;15,9
2004-08-08;12;20;15,8
2004-08-11;12;19;15,65
2004-08-12;12;19;15,5
2004-08-13;12;19;15,5
2004-08-14;12;19;15,5
2004-08-15;12;19;15,5
2004-08-18;12;19;15,5
2004-08-19;12;19;15,5
2004-08-20;12;19;15,5
2004-08-21;12;19;15,5
2004-08-22;12;19;15,5
2004-08-25;12;18;15,4
2004-08-26;12;18;15,15
2004-08-27;12;18;15
2004-08-28;12;18;15
2004-08-29;12;18;15
2004-09-01;12;18;15
2004-09-02;12;18;15
2004-09-03;12;18;15
2004-09-04;12;18;15
2004-09-05;12;18;15
2004-09-08;12;18;15
2004-09-09;12;18;15
2004-09-10;12;18;15
2004-09-11;12;18;15
2004-09-12;12;18;15
2004-09-15;12;18;15
2004-09-16;12;18;15
2004-09-17;12;18;15
2004-09-18;12;18;15
2004-09-19;12;18;15
2004-09-22;12;18;15
2004-09-23;12;18;15
2004-09-24;12;18;15
2004-09-25;12;18;15
2004-09-26;12;18;15
2004-09-29;12;18;15
2004-09-30;12;18;15
2004-10-01;12;18;15
2004-10-02;12;18;15
2004-10-03;12;18;15
2004-10-06;12;18;15
2004-10-07;12;17;15
2004-10-08;12;17;15
2004-10-09;12;17;15
2004-10-10;12;17;15
2004-10-13;12;17;14,94
2004-10-14;12;17;14,94
2004-10-15;12;17;14,94
2004-10-16;12;17;14,84
2004-10-17;12;17;14,6
2004-10-20;12;17;14,6
2004-10-21;12;17,75;14,5
2004-10-22;12;17,75;14,5
2004-10-23;12;17,75;14,5
2004-10-24;12;17,75;14,5
2004-10-28;12;17,75;14,5
2004-10-29;12;17,75;14,5
2004-10-30;12;17,75;14,5
2004-10-31;12;17,75;14,5
2004-11-03;12;17,75;14,5
2004-11-04;12;17,75;14,5
2004-11-05;12;17,75;14,5
2004-11-06;12;17,75;14,5
2004-11-07;12;17;14,5
2004-11-10;12;17;14,5
2004-11-11;12;17;14,5
2004-11-12;12;17;14,5
2004-11-13;13;17;14,5
2004-11-14;12;17;14,5
2004-11-17;12;17;14,5
2004-11-18;12;17;14,5
2004-11-19;12;17;14,5
2004-11-20;12;17;14,5
2004-11-21;12;16;14,5
2004-11-24;12;15,85;14,5
2004-11-25;12;15,85;14,5
2004-11-26;12;15,85;14,5
2004-11-27;12;15,5;14,5
2004-11-28;12;15,5;14
2004-12-01;12;15,5;14
2004-12-02;12;15,5;14
2004-12-03;12;15,5;14
2004-12-04;12;15,5;14
2004-12-05;12;15,5;14
2004-12-08;12;15,5;14
2004-12-09;12;15,5;14
2004-12-10;12;15,5;14
2004-12-11;12;15,5;14
2004-12-12;12;15,5;14
2004-12-15;12;15,5;14
