"Data";"Selic"
2008-01-02;11,18
2008-01-03;11,18
2008-01-04;11,18
2008-01-07;11,17
2008-01-08;11,17
2008-01-09;11,18
2008-01-10;11,18
2008-01-11;11,18
2008-01-14;11,18
2008-01-15;11,18
2008-01-16;11,18
2008-01-17;11,18
2008-01-18;11,18
2008-01-21;11,17
2008-01-22;11,18
2008-01-23;11,18
2008-01-24;11,17
2008-01-25;11,18
2008-01-28;11,18
2008-01-29;11,18
2008-01-30;11,18
2008-01-31;11,18
2008-02-01;11,18
2008-02-06;11,18
2008-02-07;11,18
2008-02-08;11,18
2008-02-11;11,18
2008-02-12;11,18
2008-02-13;11,18
2008-02-14;11,18
2008-02-15;11,17
2008-02-18;11,18
2008-02-19;11,18
2008-02-20;11,18
2008-02-21;11,18
2008-02-22;11,18
2008-02-25;11,18
2008-02-26;11,18
2008-02-27;11,18
2008-02-28;11,18
2008-02-29;11,18
2008-03-03;11,18
2008-03-04;11,17
2008-03-05;11,18
2008-03-06;11,18
2008-03-07;11,18
2008-03-10;11,18
2008-03-11;11,18
2008-03-12;11,18
2008-03-13;11,18
2008-03-14;11,18
2008-03-17;11,18
2008-03-18;11,17
2008-03-19;11,18
2008-03-20;11,18
2008-03-24;11,18
2008-03-25;11,18
2008-03-26;11,18
2008-03-27;11,18
2008-03-28;11,18
2008-03-31;11,18
2008-04-01;11,18
2008-04-02;11,13
2008-04-03;11,18
2008-04-04;11,18
2008-04-07;11,18
2008-04-08;11,18
2008-04-09;11,18
2008-04-10;11,18
2008-04-11;11,18
2008-04-14;11,18
2008-04-15;11,18
2008-04-16;11,18
2008-04-17;11,68
2008-04-18;11,65
2008-04-22;11,64
2008-04-23;11,64
2008-04-24;11,62
2008-04-25;11,6
2008-04-28;11,61
2008-04-29;11,61
2008-04-30;11,61
2008-05-02;11,61
2008-05-05;11,61
2008-05-06;11,61
2008-05-07;11,61
2008-05-08;11,6
2008-05-09;11,61
2008-05-12;11,61
2008-05-13;11,62
2008-05-14;11,63
2008-05-15;11,63
2008-05-16;11,64
2008-05-19;11,64
2008-05-20;11,64
2008-05-21;11,64
2008-05-23;11,64
2008-05-26;11,64
2008-05-27;11,64
2008-05-28;11,64
2008-05-29;11,64
2008-05-30;11,64
2008-06-02;11,64
2008-06-03;11,64
2008-06-04;11,64
2008-06-05;12,14
2008-06-06;12,14
2008-06-09;12,14
2008-06-10;12,16
